data_type,id,title,subtitle,storyImage,storyDesc,boardImage,boardbgm,team,type,moveType,imgUrl,hit,dodge,bgmtype,weapon_colour,crosshairType,position_row,position_col,condition_type,description,event_type,condition_turn,condition_team,condition_pieceId,condition_row,condition_col,action_type,action_pieceId,aim_row,aim_col,action_targetPieceId,action_findBestPosition,action_special,action_title,action_description,action_buttonText,action_character,action_text,action_from_row,action_from_col,action_to_row,action_to_col,action_position_row,action_position_col,once
level_info,4,第四話,魔鬼高達的威脅,./images/cover/cover04.png,Nu高達率領的部隊在宇宙中遭到基爾基爾鋼與宇宙聯合軍重創，陷入絕境之際，風之魔裝機神塞巴斯塔及時出現救援，使存活的英雄們順利撤回藍色星球。另一邊，留守大地的英雄們遭受突如其來的魔鬼高達與盟主高達襲擊，陷入苦戰。當得知Nu高達等人回歸後，他們迅速重振士氣，展開支援與救援行動。,./images/map/map04.png,./audio/SRWCBGM_Map02.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,death_army_5,,,,,,,red,死亡軍團 5,bishop,./images/unit/death_army.png,3,3,,#FFD700,Beam_Rifie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,devil_gundam,,,,,,,red,魔鬼高達,king,./images/unit/devil_gundam.png,4,4,,#FFD700,Beam_Rifie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,master_gundam,,,,,,,red,盟主高達,queen,./images/unit/master_gundam.png,4,4,,#BF40BF,Beam_Saber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,death_army_6,,,,,,,red,死亡軍團 6,bishop,./images/unit/death_army.png,3,3,,#FFD700,Beam_Saber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,death_army_4,,,,,,,red,死亡軍團 4,knight,./images/unit/death_army.png,3,3,,#FFD700,Beam_Saber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,death_army_3,,,,,,,red,死亡軍團 3,knight,./images/unit/death_army.png,3,3,,#FFD700,Beam_Saber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,death_army_2,,,,,,,red,死亡軍團 2,rook,./images/unit/death_army.png,3,3,,#FFD700,Beam_Rifie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,death_army_1,,,,,,,red,死亡軍團 1,rook,./images/unit/death_army.png,3,3,,#FFD700,Beam_Rifie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,garada_k7_4,,,,,,,red,卡拉達K7 4,pawn,./images/unit/garada_k7.png,2,2,,#FFD700,Beam_Saber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,garada_k7_3,,,,,,,red,卡拉達K7 3,pawn,./images/unit/garada_k7.png,2,2,,#FFD700,Beam_Saber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,garada_k7_2,,,,,,,red,卡拉達K7 2,pawn,./images/unit/garada_k7.png,2,2,,#FFD700,Beam_Saber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,garada_k7_1,,,,,,,red,卡拉達K7 1,pawn,./images/unit/garada_k7.png,2,2,,#FFD700,Beam_Saber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,doublas_m2_4,,,,,,,red,多拉斯M2 4,pawn,./images/unit/doublas_m2.png,2,2,,#FFD700,Beam_Rifie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,doublas_m2_3,,,,,,,red,多拉斯M2 3,pawn,./images/unit/doublas_m2.png,2,2,,#FFD700,Beam_Rifie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,doublas_m2_2,,,,,,,red,多拉斯M2 2,pawn,./images/unit/doublas_m2.png,2,2,,#FFD700,Beam_Rifie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,doublas_m2_1,,,,,,,red,多拉斯M2 1,pawn,./images/unit/doublas_m2.png,2,2,,#FFD700,Beam_Rifie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,getter_q_4,,,,,,,blue,三一萬能俠Q 4,pawn,./images/unit/getter_q.png,2,2,GetterRobot,#FF69B4,Getter_Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,getter_q_3,,,,,,,blue,三一萬能俠Q 3,pawn,./images/unit/getter_q.png,2,2,GetterRobot,#FF69B4,Getter_Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,getter_q_2,,,,,,,blue,三一萬能俠Q 2,pawn,./images/unit/getter_q.png,2,2,GetterRobot,#FF69B4,Getter_Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,getter_q_1,,,,,,,blue,三一萬能俠Q 1,pawn,./images/unit/getter_q.png,2,2,GetterRobot,#FF69B4,Getter_Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,minerva_x_1,,,,,,,blue,米涅瓦X 1,pawn,./images/unit/minerva_x.png,1,3,MazingerZ,#FF4500,Breast_Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,minerva_x_4,,,,,,,blue,米涅瓦X 4,pawn,./images/unit/minerva_x.png,1,3,MazingerZ,#FF4500,Breast_Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
